,journal
0,Stem cells international
1,International journal of clinical and experimental pathology
2,Molecular medicine reports
3,Cancer biomarkers : section A of Disease markers
4,Medical science monitor : international medical journal of experimental and clinical research
5,Cancer management and research
6,Cancer biotherapy & radiopharmaceuticals
7,Oncology research
8,Journal of Cancer
9,American journal of translational research
10,Biochemical pharmacology
11,Scientific reports
12,Anti-cancer drugs
13,BMC cancer
14,Oncotarget
15,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
16,Molecular cancer research : MCR
17,PloS one
18,Cell death & disease
19,International journal of oncology
20,Molecular genetics & genomic medicine
21,Frontiers in pediatrics
22,Oncology reports
23,The Journal of pathology
24,Annals of oncology : official journal of the European Society for Medical Oncology
25,Bioscience reports
26,International journal of medical sciences
27,Veterinary sciences
28,Carcinogenesis
29,"Pathology, research and practice"
30,Genetics and molecular biology
31,Oncogene
32,American journal of cancer research
33,ACS nano
34,Journal of cellular physiology
35,BMC medical genomics
36,International journal of molecular sciences
37,Cancer research
38,Clinical laboratory
39,"Artificial cells, nanomedicine, and biotechnology"
40,Archives of biochemistry and biophysics
41,The International journal of biological markers
42,"Cell cycle (Georgetown, Tex.)"
43,Cancer medicine
44,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie
45,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology"
46,Gene
47,OncoTargets and therapy
48,"Experimental biology and medicine (Maywood, N.J.)"
49,Biochemical and biophysical research communications
50,Cell journal
51,Molecular therapy : the journal of the American Society of Gene Therapy
52,"Medical oncology (Northwood, London, England)"
53,Oncology letters
54,PloS one
55,Oncogene
56,European review for medical and pharmacological sciences
57,Molecular cancer therapeutics
58,Connective tissue research
59,Journal of orthopaedic research : official publication of the Orthopaedic Research Society
60,Clinical orthopaedics and related research
61,Cancers
62,Cancer gene therapy
63,Leukemia research
64,Zhongguo shi yan xue ye xue za zhi
65,Blood reviews
66,JCI insight
67,Medicine
68,Journal of clinical laboratory analysis
69,Journal of experimental & clinical cancer research : CR
70,Acta pharmacologica Sinica
71,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi
72,Cytotherapy
73,Current pharmaceutical biotechnology
74,Experimental cell research
75,Biomarker research
76,RNA biology
77,Molecular carcinogenesis
78,The Journal of clinical investigation
79,International journal of molecular sciences
80,PeerJ
81,Frontiers in genetics
82,The Journal of biological chemistry
83,Skeletal muscle
84,Pediatric blood & cancer
85,European journal of gastroenterology & hepatology
86,Laboratory investigation; a journal of technical methods and pathology
87,British journal of cancer
88,Antioxidants & redox signaling
89,Molecular oncology
90,FASEB journal : official publication of the Federation of American Societies for Experimental Biology
91,The international journal of biochemistry & cell biology
92,Nucleic acid therapeutics
93,Journal of biosciences
94,Frontiers in cell and developmental biology
95,Neuro-oncology
96,Neuroscience letters
97,Neuropharmacology
98,Cell biology international
99,Neural regeneration research
100,FEBS letters
101,Proceedings of the National Academy of Sciences of the United States of America
102,BMC research notes
103,Molecular cell
104,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology"
105,"Neoplasia (New York, N.Y.)"
106,The Journal of neuroscience : the official journal of the Society for Neuroscience
107,Cancer metastasis reviews
108,Cell death and differentiation
109,Medicinal research reviews
110,"Genes, chromosomes & cancer"
111,Cancer letters
112,Cancer cell
113,Journal of cellular and molecular medicine
114,Nature genetics
115,Translational oncology
116,Expert opinion on drug discovery
117,American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting
118,Theranostics
119,"Small (Weinheim an der Bergstrasse, Germany)"
120,Clinical cancer research : an official journal of the American Association for Cancer Research
121,International journal of cancer
122,Nature
123,Scientific data
124,Biochemistry and biophysics reports
125,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery
126,Trends in cancer
127,Gastroenterology
128,Bone research
129,"Hepatology (Baltimore, Md.)"
130,BioMed research international
131,Journal of cancer research and therapeutics
132,Parasitology international
133,Pharmacogenomics
134,Asian Pacific journal of cancer prevention : APJCP
135,"European journal of cancer (Oxford, England : 1990)"
136,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics
137,Journal of cellular biochemistry
138,Biologicals : journal of the International Association of Biological Standardization
139,Genes & development
140,Molecular vision
141,Nature cell biology
142,Cancer science
143,Cellular and molecular life sciences : CMLS
144,Microvascular research
145,Acta medica Iranica
146,Bioinformatics and biology insights
147,Journal of molecular and cellular cardiology
148,TheScientificWorldJournal
149,Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology
150,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology
151,Oral oncology
152,Head & neck
153,Chinese medical journal
154,Journal of B.U.ON. : official journal of the Balkan Union of Oncology
155,Oral diseases
156,Diagnostic pathology
157,Journal of the National Cancer Institute
158,"Cancer prevention research (Philadelphia, Pa.)"
159,Journal of cancer research and clinical oncology
160,Journal of surgical oncology
161,"Clinical science (London, England : 1979)"
162,Histopathology
163,Genes & cancer
164,Archives of gynecology and obstetrics
165,Cellular oncology (Dordrecht)
166,Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery
167,Experimental dermatology
168,Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation
169,International journal of biological sciences
170,Current opinion in otolaryngology & head and neck surgery
171,Molecular cancer
172,Analytical chemistry
173,Expert review of gastroenterology & hepatology
174,Brazilian journal of otorhinolaryngology
